id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
FOXG_16418	62687,69667	0	125375,3933	Inf	Inf	1,14E-22	1,88E-18
FOXG_14253	2574,068434	0	5148,136869	Inf	Inf	2,59E-16	1,07E-12
FOXG_16417	2055,28947	0	4110,57894	Inf	Inf	7,99E-16	2,63E-12
FOXG_20174	1697,884983	0	3395,769966	Inf	Inf	1,18E-15	3,25E-12
FOXG_16416	1574,439293	0	3148,878586	Inf	Inf	2,97E-15	6,99E-12
FOXG_11336	1066,29209	0	2132,58418	Inf	Inf	1,66E-14	2,48E-11
FOXG_SIX8-51	937,9012494	0	1875,802499	Inf	Inf	3,33E-14	3,91E-11
FOXG_09661	811,6090592	0	1623,218118	Inf	Inf	4,42E-14	4,85E-11
FOXG_17459	824,7782263	0	1649,556453	Inf	Inf	6,33E-14	6,36E-11
FOXG_12952	856,9596881	0	1713,919376	Inf	Inf	6,57E-14	6,36E-11
FOXG_17449	708,22604	0	1416,45208	Inf	Inf	1,11E-13	8,67E-11
FOXG_17453	610,4816053	0	1220,963211	Inf	Inf	1,82E-13	1,30E-10
FOXG_SIX7	600,4906797	0	1200,981359	Inf	Inf	2,32E-13	1,53E-10
FOXG_17448	616,1309856	0	1232,261971	Inf	Inf	2,42E-13	1,53E-10
FOXG_13625	611,2370118	0	1222,474024	Inf	Inf	3,13E-13	1,91E-10
FOXG_09102	584,670666	0	1169,341332	Inf	Inf	3,48E-13	2,04E-10
FOXG_13628	470,9153236	0	941,8306473	Inf	Inf	6,05E-13	2,93E-10
FOXG_SIX12	422,946484	0	845,892968	Inf	Inf	6,37E-13	3,00E-10
FOXG_13210	480,6302357	0	961,2604714	Inf	Inf	7,68E-13	3,47E-10
FOXG_10717	443,0704506	0	886,1409012	Inf	Inf	8,94E-13	3,87E-10
FOXG_14144	401,4504068	0	802,9008136	Inf	Inf	1,68E-12	6,63E-10
FOXG_17455	378,7277606	0	757,4555212	Inf	Inf	1,73E-12	6,63E-10
FOXG_04565	356,9452348	0	713,8904697	Inf	Inf	2,53E-12	9,25E-10
FOXG_10801	351,0922209	0	702,1844418	Inf	Inf	3,20E-12	1,05E-09
FOXG_07489	345,1940056	0	690,3880112	Inf	Inf	3,74E-12	1,16E-09
FOXG_09660	276,7131073	0	553,4262147	Inf	Inf	6,10E-12	1,86E-09
FOXG_11740	316,3926824	0	632,7853648	Inf	Inf	6,34E-12	1,90E-09
FOXG_SIX14	256,082087	0	512,1641741	Inf	Inf	1,14E-11	3,29E-09
FOXG_08735	246,1915804	0	492,3831608	Inf	Inf	1,54E-11	4,15E-09
FOXG_13188	232,0028319	0	464,0056638	Inf	Inf	1,89E-11	5,01E-09
FOXG_06421	264,9702349	0	529,9404697	Inf	Inf	2,21E-11	5,78E-09
FOXG_15265	210,2024163	0	420,4048327	Inf	Inf	2,67E-11	6,77E-09
FOXG_17458	208,0359302	0	416,0718603	Inf	Inf	3,31E-11	8,12E-09
FOXG_13249	204,9353226	0	409,8706452	Inf	Inf	3,92E-11	9,22E-09
FOXG_13381	219,9145009	0	439,8290019	Inf	Inf	4,08E-11	9,37E-09
FOXG_13494	198,3732861	0	396,7465722	Inf	Inf	4,10E-11	9,37E-09
FOXG_17498	212,0809098	0	424,1618195	Inf	Inf	5,00E-11	1,08E-08
FOXG_17523	209,6337702	0	419,2675404	Inf	Inf	5,49E-11	1,17E-08
FOXG_17122	184,8231987	0	369,6463974	Inf	Inf	7,17E-11	1,51E-08
FOXG_16612	184,8125192	0	369,6250384	Inf	Inf	7,53E-11	1,53E-08
FOXG_13345	167,7280653	0	335,4561306	Inf	Inf	7,55E-11	1,53E-08
FOXG_04670	188,5355972	0	377,0711944	Inf	Inf	7,93E-11	1,57E-08
FOXG_14784	171,8084649	0	343,6169297	Inf	Inf	8,76E-11	1,70E-08
FOXG_17013	160,773515	0	321,54703	Inf	Inf	1,13E-10	2,11E-08
