Supercontig	start	end	H3K27me3_a	H3K27me3_b	H3K4me2_a	H3K4me2_b	GENES	REPEATS	SNPs_VCG030	SNPs_CladeIII	dN	dNdS	dS	inplanta_RPKM	invitro_RPKM	log2foldChange
Supercontig_2.14	0	10000	12.1355	2.2672	0.4029	0.996	0.5445000	0.0000000	0.0002000	0.0455000				0.196666666667	0.0	1.18903069657
Supercontig_2.14	10000	20000	3.5829	0.716	0.1887	0.2943	0.0411000	0.0000000	0.0000000	0.0161000				0.0	0.0	0.0
Supercontig_2.14	20000	30000	0	0	0	0	0.0000000	0.0000000	0.0000000	0.0000000						
Supercontig_2.14	30000	40000	5.8768	1.2729	0.2958	0.4944	0.3160000	0.0000000	0.0000000	0.0216000				14.3333333333	0.0183333333334	6.34427661209
Supercontig_2.14	40000	50000	12.0276	2.5421	0.6528	0.8968	0.4695000	0.0000000	0.0000000	0.0457000				0.742222222223	0.0	2.20986332099
Supercontig_2.14	50000	60000	12.1021	2.6611	0.8299	1.1131	0.3515000	0.0000000	0.0000000	0.0382000	0.089	0.1786	0.4982	0.155555555556	0.0	1.27033288895
Supercontig_2.14	60000	70000	13.4611	2.936	0.835	1.0517	0.6316000	0.0000000	0.0002000	0.0460000	0.0781	0.2427	0.3217	1.22416666667	0.0208333333333	2.59181404708
Supercontig_2.14	70000	80000	9.2295	2.5283	2.9837	0.8506	0.8448000	0.0485000	0.0000000	0.0452000				2.78	2.16583333333	-0.562609601494
Supercontig_2.14	80000	90000	11.7067	2.6142	0.9478	1.2243	0.7995000	0.0000000	0.0000000	0.0474000	0.0472666666667	0.113433333333	0.4178	0.02	0.784166666666	-4.13987234922
Supercontig_2.14	90000	100000	12.5571	2.8378	0.9063	1.1575	0.4267000	0.0000000	0.0000000	0.0119000				0.776666666667	0.594444444443	-0.315798383287
Supercontig_2.14	100000	110000	14.4613	2.8476	1.3263	1.2281	0.3626000	0.0000000	0.0000000	0.0112000	0.13015	0.22685	0.5791	0.449166666667	1.5525	-2.0745104822
Supercontig_2.14	110000	120000	8.8308	2.1212	4.3283	1.052	0.4698000	0.0485000	0.0000000	0.0462000	0.03165	0.0568	0.56165	8.75111111112	119.908888889	-2.13137414028
Supercontig_2.14	120000	130000	12.5395	2.4819	0.8649	1.0273	0.3572000	0.0000000	0.0004000	0.0296000	0.0833	0.1459	0.5718	0.196666666667	0.0733333333335	0.423838756061
