Gene identifier, dN/dS (YN00), M1/M2 test (Codeml), M7/M8 test (Codeml) ,Codeml under diversifying selection,YN00 under diversifying selection
FGSG_00002,0.163166667,0.801576392,0.009281464,FALSE,FALSE
FGSG_00003,0.1598,1,1,FALSE,FALSE
FGSG_00004,0.179838095,1,1,FALSE,FALSE
FGSG_00005,0.12092381,1,1,FALSE,FALSE
FGSG_00006,0.147814286,1,1,FALSE,FALSE
FGSG_00009,0.1365,0.999947001,1,FALSE,FALSE
FGSG_00010,0.3646,Not calculated,Not calculated,FALSE,FALSE
FGSG_00011,0.1294,1,1,FALSE,FALSE
FGSG_00012,0.072239286,1,1,FALSE,FALSE
FGSG_00014,0.106,1,0.461786323,FALSE,FALSE
FGSG_00016,0.09067,1,1,FALSE,FALSE
FGSG_00017,0.14874,1,0.003707079,FALSE,FALSE
FGSG_00018,0.036732143,1,1,FALSE,FALSE
FGSG_00019,0.225033333,1,0.981978367,FALSE,FALSE
FGSG_00021,0.306982143,1,0.483351571,FALSE,FALSE
FGSG_00023,0.051143636,0.460733728,1.08E-05,FALSE,FALSE
FGSG_00024,0.190178571,1,1,FALSE,FALSE
FGSG_00025,0.210057143,1,0.540307423,FALSE,FALSE
FGSG_00026,0.066130556,1,0.934581914,FALSE,FALSE
FGSG_00027,0.250966667,1,0.997772485,FALSE,FALSE
FGSG_00028,0.045033333,1,0.322159666,FALSE,FALSE
FGSG_00029,0.117792857,1,1,FALSE,FALSE
FGSG_00030,0.233421429,1,0.995567851,FALSE,FALSE
FGSG_00032,0.311100952,1,0.968960918,FALSE,FALSE
FGSG_00033,0.362566667,0.900340729,0.749066885,FALSE,FALSE
FGSG_00036,0.291433333,0.891208386,0.81605298,FALSE,FALSE
FGSG_00038,1.6739,Not calculated,Not calculated,FALSE,TRUE
FGSG_00039,0.23332381,1,0.574010839,FALSE,FALSE
FGSG_00040,0.35169,1,1,FALSE,FALSE
FGSG_00043,0.30693,1,1,FALSE,FALSE
FGSG_00044,0.415433333,1,0.999723038,FALSE,FALSE
FGSG_00045,0.335266667,0.999998,1,FALSE,FALSE
FGSG_00046,0.5068,1,0.999874008,FALSE,FALSE
FGSG_00048,0.227683333,1,0.999333222,FALSE,FALSE
FGSG_00049,0.413633333,0.983302967,0.977956587,FALSE,FALSE
FGSG_00050,0.152894444,1,1,FALSE,FALSE
FGSG_00051,0.086690476,1,1,FALSE,FALSE
FGSG_00052,0.17491,1,1,FALSE,FALSE
FGSG_00053,0.115028571,1,1,FALSE,FALSE
FGSG_00055,0.27677,1,1,FALSE,FALSE
FGSG_00056,0.325453333,1,1,FALSE,FALSE
FGSG_00058,0.082342857,1,1,FALSE,FALSE
FGSG_00059,0.086394444,1,1,FALSE,FALSE
FGSG_00060,0.068846667,1,1,FALSE,FALSE
FGSG_00061,0.068793333,1,1,FALSE,FALSE
FGSG_00062,0.063673333,0.485896325,1,FALSE,FALSE
FGSG_00063,0.23778,1,1,FALSE,FALSE
FGSG_00064,0.568666667,0.934495002,1,FALSE,FALSE
FGSG_00065,0.089152381,1,1,FALSE,FALSE
FGSG_00066,0.048703571,1,1,FALSE,FALSE
FGSG_00068,0.047325,1,1,FALSE,FALSE
FGSG_00069,0.052228571,1,1,FALSE,FALSE
